Metric,Value,Unit,Category
Attack Prevention Rate,93.62,Percentage,Security
Average System Latency,17.25,Milliseconds,Performance
Maximum Throughput,58.75,Transactions per Second,Performance
P95 Latency,12.48,Milliseconds,Performance
P99 Latency,16.89,Milliseconds,Performance
Emergency Access Reliability,100.00,Percentage,Emergency Access
Average Emergency Response Time,27.94,Milliseconds,Emergency Access
Audit Coverage,100.00,Percentage,Audit & Compliance
Audit Integrity Score,100.00,Percentage,Audit & Compliance
Workflow Completion Rate,94.87,Percentage,Healthcare Workflows
Fault Tolerance Score,100.00,Percentage,System Resilience
Fault Recovery Rate,100.00,Percentage,System Resilience
Max Concurrent Users,19,Count,Scalability
Performance Degradation,94.74,Percentage,Scalability
Overall Test Success Rate,100.00,Percentage,Execution
Total Test Duration,5.97,Minutes,Execution
