OperationType,RequestRate,AverageLatency(ms),StdDev(ms),Observation
accessRequest,1,28.16,0.00,First measurement
accessRequest,2,50.53,0.00,First measurement
accessRequest,4,48.46,0.00,First measurement
accessRequest,8,51.72,0.00,First measurement
accessRequest,16,45.02,0.00,First measurement
accessRequest,32,45.46,0.00,First measurement
accessRequest,64,45.25,0.00,First measurement
accessRequest,128,605.79,0.00,First measurement
accessRequest,256,1288.69,0.00,First measurement
accessRequest,512,2278.87,0.00,First measurement
accessRequest,1024,4362.81,0.00,First measurement
policyVerification,1,13.87,0.00,First measurement
policyVerification,2,19.54,0.00,First measurement
policyVerification,4,24.90,0.00,First measurement
policyVerification,8,27.77,0.00,First measurement
policyVerification,16,21.58,0.00,First measurement
policyVerification,32,23.56,0.00,First measurement
policyVerification,64,26.33,0.00,First measurement
policyVerification,128,608.69,0.00,First measurement
policyVerification,256,1234.33,0.00,First measurement
policyVerification,512,2410.73,0.00,First measurement
policyVerification,1024,3422.52,0.00,First measurement
enforcement,1,19.74,0.00,First measurement
enforcement,2,28.99,0.00,First measurement
enforcement,4,23.16,0.00,First measurement
enforcement,8,25.59,0.00,First measurement
enforcement,16,35.03,0.00,First measurement
enforcement,32,24.31,0.00,First measurement
enforcement,64,22.71,0.00,First measurement
enforcement,128,352.63,0.00,First measurement
enforcement,256,743.19,0.00,First measurement
enforcement,512,1314.33,0.00,First measurement
enforcement,1024,2519.71,0.00,First measurement
