Metric,Value,Unit,Category
Attack Prevention Rate,80.00,Percentage,Security
Average System Latency,111.31,Milliseconds,Performance
Maximum Throughput,12.37,Transactions per Second,Performance
P95 Latency,130.85,Milliseconds,Performance
P99 Latency,134.85,Milliseconds,Performance
Emergency Access Reliability,0.00,Percentage,Emergency Access
Average Emergency Response Time,0.00,Milliseconds,Emergency Access
Audit Coverage,0.00,Percentage,Audit & Compliance
Audit Integrity Score,0.00,Percentage,Audit & Compliance
Workflow Completion Rate,71.79,Percentage,Healthcare Workflows
Fault Tolerance Score,100.00,Percentage,System Resilience
Fault Recovery Rate,100.00,Percentage,System Resilience
Max Concurrent Users,19,Count,Scalability
Performance Degradation,94.74,Percentage,Scalability
Overall Test Success Rate,33.33,Percentage,Execution
Total Test Duration,6.39,Minutes,Execution
