RequestRate,AvgLatency(ms),P95Latency(ms),Throughput(tx/s),SuccessRate(%),AvgGasUsed,MemoryUsage(MB)
1,9.01,21.25,1.90,100.00,N/A,N/A
2,12.49,20.67,2.90,100.00,N/A,N/A
4,14.07,20.16,4.90,100.00,N/A,N/A
8,13.86,20.09,8.89,100.00,N/A,N/A
16,15.03,20.09,16.60,98.22,N/A,N/A
32,16.11,21.04,32.67,99.39,N/A,N/A
64,13.06,20.27,43.81,97.77,N/A,N/A
128,10.59,19.64,53.59,94.21,N/A,N/A
256,13.30,19.98,43.92,95.65,N/A,N/A
512,12.99,19.92,43.47,94.36,N/A,N/A
1024,13.58,20.04,42.79,94.29,N/A,N/A
2048,13.53,20.01,43.07,94.73,N/A,N/A
4096,13.29,20.07,43.19,94.54,N/A,N/A
8192,12.99,20.05,43.66,94.19,N/A,N/A
10000,13.21,19.86,43.20,93.91,N/A,N/A
